Fonction;Expérience fonction;Niveau Etudes;Structure;Secteur Activité;Taille Société;Nbre dossiers gérés mensuellement;Paie internalisée ou externalisée;Nbre Bulletins Produits;Nbre Bulletins Supervisés;Nbre de CCN;Management;Volume de paies supervisées;Nbre de personnes supervisées;Quelle est votre expérience totale ?;Combien de jours de télétravail avez vous par semaine ?;Rémunération brute;Avez vous primes et avantages salariaux (hors légal) ?;Anglais dans votre quotidien pro ?;Dans quel département travaillez vous ?;Quel est votre sexe ?;Quelle est votre tranche d'âge ?;Poste;Localisation
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;2;45000;Oui;Non;75;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);4 à 7 ans;Bac+5;Entreprise;Service public;30 001;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;25 001;11 à 20;8 à 12 ans;2;52000;Oui;Non;75;Femme;26 à 35 ans;Responsable Adjoint Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+2;Entreprise;Industries;10 001 à 30 000;NC;Internalisée (tout est géré en interne);0;NC;1;Non;NC;NC;8 à 12 ans;2;49500;Oui;Non;92;Femme;36 à 45 ans;Responsable Adjoint Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+5;Société d'externalisation de paies;NC;Moins de 50;11 à 20;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Oui;3 001 à 5 000;6 à 10;8 à 12 ans;4;38000;Oui;Non;56;Femme;26 à 35 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Industries;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;1;35081;Oui;Non;94;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;1 à 3 ans;0;27000;Non;Non;83;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Internalisée (tout est géré en interne);501 à 700;NC;6 à 10;Non;NC;NC;8 à 12 ans;0;33000;Oui;Non;84;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;40000;Oui;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;- 1 an;Bac+3;Société d'externalisation de paies;NC;51 à 250;91;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;4 à 6;Non;NC;NC;- 1 an;0;25800;Non;Non;64;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;4 à 7 ans;Bac+5;Entreprise;Industries;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;0;48000;Non;Non;38;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;5001 à 10 000;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;4 à 6;Non;NC;NC;15 à 20 ans;1;46800;Oui;Non;94;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);501 à 700;NC;10;Non;NC;NC;+ de 21 ans;2;56400;Oui;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Commerce / Négoce / Distribution;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;40400;Oui;Oui, écrit et oral;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+2;Entreprise;Edition / Communication / Multimédia;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Oui;- de 500;2 à 5;15 à 20 ans;0;57000;Non;Non;77;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;10;Oui;- de 500;1;4 à 7 ans;0;31200;Oui;Non;83;Homme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Métallurgie;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;1 à 3 ans;1;28450;Oui;Oui, écrit et oral;27;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Cabinet d'Expertise Comptable;NC;51 à 250;61 à 90;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;10;Oui;- de 500;1;4 à 7 ans;2;36000;Oui;Non;34;Homme;- 25 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+5;Entreprise;Automobile;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Oui;1 501 à 3 000;6 à 10;4 à 7 ans;2;43000;Oui;Non;35;Femme;26 à 35 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Retail;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;1;36400;Non;Oui, écrit;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;1 à 3 ans;Bac+3;Entreprise;Etudes / Conseils;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;3;48000;Non;Non;75;Femme;26 à 35 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Médico Social;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;31200;Oui;Non;49;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac;Entreprise;Retail;10 001 à 30 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;+ de 21 ans;0;40000;Non;Non;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;4 à 7 ans;5;37700;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+2;Entreprise;Industries;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;- de 500;2 à 5;15 à 20 ans;0;45000;Non;Non;59;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Oui;- de 500;1;8 à 12 ans;2;46000;Oui;Non;77;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+2;Entreprise;HCR (Hotels, Cafés, Restaurants);251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Oui;- de 500;1;8 à 12 ans;1;43000;Non;Non;92;Femme;46 à 55 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Société d'externalisation de paies;NC;51 à 250;-10;Totalement externalisée (la production du BS est gérée par le prestataire);NC;501 à 700;1;Oui;501 à 1 500;2 à 5;1 à 3 ans;3;25740;Oui;Oui, écrit;64;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie & SIRH;+ 12 ans;Bac+3;Entreprise;Service public;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;15 à 20 ans;3;53000;Oui;Non;75;Femme;36 à 45 ans;Responsable Paie;IDF
Consultant(e) Paie;1 à 3 ans;Bac+2;Société d'externalisation de paies;NC;Moins de 50;61 à 90;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;10;Oui;1 501 à 3 000;2 à 5;4 à 7 ans;3;40000;Oui;Oui, écrit;59;Femme;36 à 45 ans;Consultant Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Cabinet d'Expertise Comptable;NC;1000 à 2500;21 à 40;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;6 à 10;Non;NC;NC;4 à 7 ans;2;31800;Non;Non;49;Homme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;Associatif;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;1 à 3 ans;2;35000;Non;Non;92;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+3;Entreprise;BTP / Travaux / Construction;1000 à 2500;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;1;Non;NC;NC;8 à 12 ans;2;55000;Non;Non;75;Homme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+2;Entreprise;Transport / Logistique;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;+ de 21 ans;0;45000;Oui;Non;59;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;1000 à 2500;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Non;NC;NC;15 à 20 ans;2;29000;Oui;Non;59;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+2;Entreprise;Services aux entreprises;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;8 à 12 ans;0;42000;Non;Non;59;Homme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Services aux entreprises;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;0;26400;Non;Non;44;Femme;- 25 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Automobile;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;0;40000;Non;Non;78;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Services aux entreprises;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;501 à 1 500;2 à 5;15 à 20 ans;0;48000;Oui;Non;57;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Société d'externalisation de paies;NC;Moins de 50;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;10;Oui;- de 500;1;4 à 7 ans;3;30000;Oui;Non;41;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Entreprise;Evénementiel;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;1;36000;Oui;Non;69;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Société d'externalisation de paies;NC;251 à 1000;-10;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;4 à 7 ans;2;26400;Oui;Non;45;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;4 à 7 ans;0;35600;Oui;Non;59;Homme;46 à 55 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;Services aux entreprises;30 001;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;1;4 à 7 ans;0;22500;Oui;Non;10;Femme;- 25 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Automobile;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;1;33000;Oui;;44;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;4 à 7 ans;2;41760;Oui;Non;93;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;+ 12 ans;Bac+5;Entreprise;Agroalimentaire;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);0;NC;1;Non;NC;NC;+ de 21 ans;3;65000;Oui;Non;94;Femme;+ 56 ans;Consultant Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Manutention portuaire. EPIC;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;15 à 20 ans;1;45000;Oui;Non;59;Femme;46 à 55 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;- 1 an;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;501 à 1 500;2 à 5;8 à 12 ans;0;45000;Non;Non;94;Femme;26 à 35 ans;Responsable Paie;IDF
Responsable Paie;8 à 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;251 à 1000;61 à 90;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;10;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;1;36700;Oui;Non;44;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;2 à 3;Non;NC;NC;15 à 20 ans;0;40800;Oui;Non;971;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;2 à 5;4 à 7 ans;2;37200;Oui;Non;44;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;Santé - Etablissements Hospitaliers;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;1;35000;Non;Non;33;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+5;Société d'externalisation de paies;NC;5001 à 10 000;41 à 60;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;6 à 10;Oui;3 001 à 5 000;6 à 10;15 à 20 ans;3;80000;Non;Non;93;Homme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+3;Entreprise;Services aux entreprises;Moins de 50;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;0;42000;Oui;Non;972;Homme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;1000 à 2500;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;1;27000;Oui;Non;69;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;8 à 12 ans;Bac+5;Entreprise;Industries;2500 à 5000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;8 à 12 ans;2;42500;Oui;Non;91;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Santé - Etablissements Hospitaliers;10 001 à 30 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;1 à 3 ans;3;32000;Oui;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Médico Social;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;1;1 à 3 ans;0;24500;Non;Non;27;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+5;Entreprise;Informatique / Télécoms;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;55000;Non;Non;75;Femme;26 à 35 ans;Responsable Paie;IDF
Responsable Paie;- 1 an;Bac+3;Entreprise;Retail;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;2 à 3;Oui;501 à 1 500;2 à 5;4 à 7 ans;2;48000;Oui;Oui, écrit et oral;75;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;10 001 à 30 000;21 à 40;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;6 à 10;Non;NC;NC;4 à 7 ans;3;34207;Oui;Non;69;Homme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;6 à 10;Non;NC;NC;15 à 20 ans;2;45000;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Entreprise;Médico Social;1000 à 2500;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;8 à 12 ans;2;34000;Oui;Non;69;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Informatique / Télécoms;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;2;42000;Oui;Non;92;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Services aux entreprises;30 001;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;15 à 20 ans;1;58000;Non;Non;94;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Médico Social;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;32400;Oui;Non;49;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Retail;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;0;25908;Non;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Industries;1000 à 2500;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;2;33132;Oui;Non;49;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Santé - Etablissements Hospitaliers;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;1 à 3 ans;0;28260;Oui;Non;54;Homme;- 25 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+3;Entreprise;Nettoyage industriel / Sécurité;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;0;36000;Non;Non;33;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;251 à 1000;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Non;NC;NC;4 à 7 ans;0;33600;Non;Non;74;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Banque / Assurance / Mutuelle;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;2;41000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;10;Non;NC;NC;4 à 7 ans;1;27600;Oui;Oui, écrit;67;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Industries;5001 à 10 000;NC;Internalisée (tout est géré en interne);0;NC;2 à 3;Oui;1 501 à 3 000;6 à 10;+ de 21 ans;2;75000;Oui;Oui, écrit;92;Femme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Services aux entreprises;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;1;30800;Non;Non;6;Femme;46 à 55 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;8 à 12 ans;Bac+2;Entreprise;Sport;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;2 à 3;Oui;501 à 1 500;1;15 à 20 ans;2;48000;Oui;Non;78;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Industries;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;1;34000;Oui;Non;84;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;4 à 7 ans;2;38000;Oui;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Services aux entreprises;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Oui;- de 500;1;4 à 7 ans;1;34000;Non;Non;72;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Industries;5001 à 10 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;5 001 à 10 000;6 à 10;15 à 20 ans;2;75000;Oui;Non;95;Homme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;1 à 3 ans;2;33240;Oui;Non;77;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Entreprise;Médico Social;30 001;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;44000;Non;Non;95;Femme;46 à 55 ans;Responsable Adjoint Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Médico Social;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;2 à 3;Oui;501 à 1 500;1;8 à 12 ans;1;32000;Oui;Non;29;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Directeur/trice Paie & SIRH;+ 12 ans;Bac+2;Entreprise;BTP / Travaux / Construction;10 001 à 30 000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;3 001 à 5 000;11 à 20;+ de 21 ans;2;110000;Oui;Non;75;Homme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Entreprise;Agroalimentaire;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;2;46685;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Industries;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;3 001 à 5 000;6 à 10;15 à 20 ans;2;70000;Oui;Non;91;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie & SIRH;8 à 12 ans;Bac+3;Entreprise;Informatique / Télécoms;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;1 501 à 3 000;6 à 10;8 à 12 ans;2;67000;Oui;Oui, écrit;34;Homme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Santé - Etablissements Hospitaliers;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;4 à 7 ans;1;34000;Oui;Non;67;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Non;NC;NC;1 à 3 ans;0;32000;Oui;Non;22;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Transport / Logistique;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Oui;- de 500;2 à 5;+ de 21 ans;0;50000;Non;Non;69;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Associatif;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Oui;- de 500;1;4 à 7 ans;2;40000;Non;Non;44;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Edition / Communication / Multimédia;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;+ de 21 ans;3;62000;Oui;Non;92;Femme;46 à 55 ans;Responsable Paie;IDF
Responsable Paie;- 1 an;Bac+3;Entreprise;Associatif;Moins de 50;NC;Internalisée (tout est géré en interne);- de 50;NC;1;Non;NC;NC;4 à 7 ans;3;28200;Non;Non;44;Homme;26 à 35 ans;Responsable Paie;Hors IDF
